"","tank","week","Mb","mba","mba1","pp.N","AvgS","CMb","Cmba","Cmba1","C.N","CAvgS","OMb","Omba","Omba1","O.N","OAvgS","CNMb","CNmba","CNmba1","CN.N","CN.AvgS","FNMb","FNmba","FNmba1","FN.N","FN.AvgS"
"82",17,1,22383.8060132516,200.30359667009,3.18905336714871,14,1598.84328666083,2932.39591764993,119.17617745243,1.01603075436638,5,586.479183529987,19451.4100956017,245.374385124345,2.17302261278233,9,2161.26778840019,18101.0896753814,927.910401907362,0.205050727563518,2,9050.54483769071,22383.8060132516,200.30359667009,3.18905336714871,14,1598.84328666083
"83",17,2,33804.6222200466,81.4030009764098,25.8379263396071,94,359.623640638793,23607.6230783613,86.8393443561642,17.5979852160781,60,393.460384639355,10196.9991416853,71.8094538356666,8.23994112352899,34,299.911739461332,NA,NA,NA,NA,NA,33804.6222200466,81.4030009764098,25.8379263396071,94,359.623640638793
"84",17,6,20072.9710132642,65.9833076952143,30.0168024224771,70,286.756728760918,3039.84294774581,39.2405163418862,17.1860426490246,17,178.814291043871,17033.1280655184,74.5611841670365,12.8307597734526,53,321.379774821103,1634.19282822005,257.026247180638,0.157280244254032,1,1634.19282822005,20072.9710132642,65.9833076952143,30.0168024224771,70,286.756728760918
"85",17,7,2747.08938951969,77.0774006268896,2.12080770177449,8,343.386173689962,1186.13218762213,81.755740509931,0.931306852443411,3,395.377395874042,1560.95720189757,74.2703966970648,1.18950084933108,5,312.191440379513,NA,NA,NA,NA,NA,2747.08938951969,77.0774006268896,2.12080770177449,8,343.386173689962
"86",18,0,12345.7537173324,56.5237767691604,14.55184440263,34,363.110403450953,2509.32455790851,27.3461202448699,13.2699147746319,29,86.5284330313279,9836.42915942389,225.754184610045,1.28192962799818,5,1967.28583188478,9050.54483769071,927.910401907362,0.102525363781759,1,9050.54483769071,12345.7537173324,56.5237767691604,14.55184440263,34,363.110403450953
"87",18,1,28719.5830684915,95.6792547026382,13.8597039463143,56,512.849697651633,17071.8339151306,89.4634501163074,10.134802656,42,406.472236074538,11647.7491533608,114.32666846163,3.72490129031434,14,831.982082382918,9050.54483769071,927.910401907362,0.102525363781759,1,9050.54483769071,28719.5830684915,95.6792547026382,13.8597039463143,56,512.849697651633
"88",18,2,142010.894802945,85.2414927100475,87.36829484837,377,376.68672361524,108283.407800389,90.5431234947537,60.5057688237169,266,407.080480452591,33727.4870025562,72.5366838025531,26.8625260246531,111,303.851234257263,NA,NA,NA,NA,NA,142010.894802945,85.2414927100475,87.36829484837,377,376.68672361524
"89",18,6,22921.7412036895,19.3601541324279,271.358211720083,236,97.1260220495318,3664.34529242557,4.95276712486823,251.07418185328,168,21.8115791215808,19257.3959112639,54.9548749746343,20.2840298668029,68,283.196998695058,9050.54483769071,927.910401907362,0.102525363781759,1,9050.54483769071,22921.7412036895,19.3601541324279,271.358211720083,236,97.1260220495318
"90",18,7,4561.91698493333,35.8322201579721,11.912064137863,34,134.174028968627,1966.83851155477,48.5228113302036,3.53598925824948,9,218.537612394975,2595.07847337856,31.2636073359687,8.37607487961354,25,103.803138935142,187.043691292891,22.1879080517258,1.06761779071627,3,62.3478970976303,4561.91698493333,35.8322201579721,11.912064137863,34,134.174028968627
"91",19,0,1336.40198512219,36.0467971788016,3.38957992615828,10,133.640198512219,1013.39910317389,42.6380860484247,1.9823720771903,6,168.899850528981,323.002881948299,26.159863874367,1.40720784896798,4,80.7507204870747,NA,NA,NA,NA,NA,1336.40198512219,36.0467971788016,3.38957992615828,10,133.640198512219
"92",19,1,400087.120911222,649.955757235474,9.9136725129762,67,5971.44956583914,399615.309895937,699.958272626906,8.26936505677708,62,6445.40822412801,471.811015285461,29.9245663817246,1.64430745619911,5,94.3622030570922,NA,NA,NA,NA,NA,400087.120911222,649.955757235474,9.9136725129762,67,5971.44956583914
"93",19,2,4014.2012502908,66.3633667919969,3.99226028274997,14,286.728660735057,3703.89167597948,75.6167300843697,3.05155675103485,11,336.717425089044,310.309574311312,32.4343680532964,0.940703531715124,3,103.436524770437,NA,NA,NA,NA,NA,4014.2012502908,66.3633667919969,3.99226028274997,14,286.728660735057
"94",19,6,69925.1027926703,70.3316973253956,58.9332951763282,236,296.292808443518,21373.0057364842,92.5480677119157,11.2857125840392,51,419.078543852632,48552.0970561861,64.2071844080305,47.647582592289,185,262.443767871276,NA,NA,NA,NA,NA,69925.1027926703,70.3316973253956,58.9332951763282,236,296.292808443518
"95",19,7,33266.9085977089,60.8758224702829,37.7375430956573,128,259.897723419601,601.882509696817,18.7635719824464,4.94328357034624,7,85.9832156709738,32665.0260880121,63.3120683662734,32.7942595253111,121,269.958893289356,4902.57848466016,257.026247180638,0.471840732762097,3,1634.19282822005,33266.9085977089,60.8758224702829,37.7375430956573,128,259.897723419601
"96",20,0,45815.5581272849,418.325728251002,3.37196226760622,13,4581.55581272849,0.166774097903512,0.260973524083446,1.56483247317239,1,0.166774097903512,51130.4852237423,513.192113864151,2.269536191525,9,5090.599039243,9050.54483769071,927.910401907362,0.102525363781759,1,9050.54483769071,45815.5581272849,461.898999830144,3.37196226760622,10,4581.55581272849
"97",20,1,53734.1360775166,130.781582856969,15.1716908965278,60,895.568934625277,14487.1249782885,84.6134252545084,10.1354782036985,38,381.240131007593,39247.0110992281,210.526582352127,5.03621269282927,22,1783.95504996491,10684.7376659108,592.468324544,0.259805608035792,2,5342.36883295538,53734.1360775166,130.781582856969,15.1716908965278,60,895.568934625277
"98",20,2,155426.090206944,86.7113083755123,93.6331590840652,403,385.672680414252,132016.667115246,89.5587188755199,75.7896967981255,328,402.489838765993,23409.4230916981,74.2586331221455,17.8434622859396,75,312.125641222641,307.256503614119,73.3881285781191,0.238849715839658,1,307.256503614119,155426.090206944,86.7113083755123,93.6331590840652,403,385.672680414252
"99",20,6,5308.46472140349,66.2664717458105,5.30793724476621,18,294.914706744638,4823.96039848104,86.3197756815323,3.19712547131424,12,401.99669987342,484.504322922448,26.159863874367,2.11081177345197,6,80.7507204870747,NA,NA,NA,NA,NA,5308.46472140349,66.2664717458105,5.30793724476621,18,294.914706744638
"100",20,7,3877.59947633874,44.6753317843752,7.04603517316241,22,176.254521651761,1186.13218762213,81.755740509931,0.931306852443411,3,395.377395874042,2691.46728871661,38.8205304066559,6.114728320719,19,141.656173090348,NA,NA,NA,NA,NA,3877.59947633874,44.6753317843752,7.04603517316241,22,176.254521651761
